hn,date_of_submission,species,submitted_sample,submitted_sample_category,vitek_id,bacteria_genus,report_issued_date,type,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_azithromycin,ans_cefalexin,ans_cefazolin,ans_cefovecin,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fluconazole,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_minocycline,ans_nitrofurantoin,ans_pradofloxacin,ans_rifampicin,ans_trimethoprim/sulfamethoxazole,ans_vancomycin,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_benzylpenicillin,S/I/R_cefalotin,S/I/R_cefovecin,S/I/R_cefoxitin screen,S/I/R_cefpodoxime,S/I/R_chloramphenicol,S/I/R_clindamycin,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_erythromycin,S/I/R_florfenicol,S/I/R_fusidic acid,S/I/R_gentamicin,S/I/R_inducible clindamycin resistance,S/I/R_marbofloxacin,S/I/R_minocycline,S/I/R_mupirocin,S/I/R_nitrofurantoin,S/I/R_oxacillin,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_tetracycline,S/I/R_trimethoprim/sulfamethoxazole,S/I/R_vancomycin,id
6112267,2018-08-27,cat,abdominal fluid,abdomen,GP,staphylococcus,2018-09-06,train,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,S,S,,S,-,,S,S,,S,S,,S,S,-,S,,S,S,S,,S,S,S,S,4942
5711162,2016-06-21,dog,crust,skin,GP,staphylococcus,2016-06-23,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,,S,S,-,I,R,S,,R,R,,S,R,-,R,,,S,R,,S,R,S,S,3753
6210842,2019-08-18,dog,ear exudate,ear,GP,staphylococcus,2019-08-22,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,R,,S,-,,S,R,,R,R,,S,S,-,R,,S,S,R,,S,R,S,S,5637
6212024,2019-09-19,dog,surgical site,surgical site,GP,staphylococcus,2019-09-25,train,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,S,S,S,-,S,S,S,,S,S,,S,S,-,S,,S,S,S,,S,R,S,S,5654
5914727,2016-11-28,cat,urine,urinary tract,GP,enterococcus,2016-12-02,train,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,S,,,,,S,R,,R,R,,,,,R,,,S,,,,R,R,S,3635
5913702,2016-09-16,dog,pus,skin,GP,staphylococcus,2016-09-21,train,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,R,R,,S,I,-,R,,,S,S,,S,R,R,S,3622
5508451,2018-07-27,dog,abscess,abscess,GP,staphylococcus,2018-08-06,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,R,,S,-,,S,S,,R,S,,S,S,-,R,,S,S,R,,S,R,S,S,4861
5703378,2017-07-23,dog,wound,wound,GP,staphylococcus,2017-07-27,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,R,R,I,R,-,R,R,R,,R,R,,S,R,-,R,,S,S,R,,S,R,S,S,3874
6201146,2019-02-19,dog,pus,skin,GP,staphylococcus,2019-02-25,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,R,R,,R,R,,S,S,-,R,,S,S,R,,S,R,R,S,5416
6104472,2018-03-22,dog,abscess,abscess,GP,staphylococcus,2018-03-27,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,S,S,,S,S,-,S,,S,S,S,,S,S,S,S,4641
6100128,2018-01-16,dog,exudate,exudate,GP,enterococcus,2018-01-22,train,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,S,,R,,,R,R,,I,R,,,,,I,,,S,,,,R,R,S,4525
6015481,2018-04-04,dog,pus,skin,GP,staphylococcus,2018-04-09,train,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,S,S,,S,S,-,S,,S,S,S,,S,R,S,S,4668
6403228,2021-03-15,dog,urine,urinary tract,GP,enterococcus,2021-03-22,train,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,S,,R,,,S,,R,R,I,S,,,,R,,,S,,,,,,,6411
5900842,2017-02-23,dog,wound,wound,GP,lactococcus,2017-02-28,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,3961
6301318,2020-01-30,cat,urine,urinary tract,GP,staphylococcus,2020-02-04,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,S,,S,-,,S,S,S,S,S,S,,S,-,S,S,,S,S,S,,,S,,5844
6008561,2017-06-04,dog,abdominal effusion,abdomen,GP,kocuria,2017-06-09,train,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,4247
6313983,2021-01-04,dog,pg abscess,pg abscess,GP,enterococcus,2021-01-06,train,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,S,,,,,S,,R,R,R,S,,,,R,R,,S,,,,,,,6336
6202034,2019-02-27,cat,pleural effusion,pleural effusion,GP,micrococcus,2019-03-07,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,5452
6313618,2020-11-26,dog,pleural effusion,pleural effusion,GP,staphylococcus,2020-12-01,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,I,S,R,S,R,-,I,S,R,R,R,R,S,,R,-,R,R,,S,R,R,,,R,,6327
5714223,2020-03-10,dog,exudate,exudate,GP,staphylococcus,2020-03-18,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,S,S,R,S,S,-,S,R,S,R,R,R,S,,R,-,R,R,,S,R,I,,,R,,5906
6210176,2020-01-20,dog,interdigital cyst,extremely rare,GP,staphylococcus,2020-01-23,train,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,S,,S,-,,S,S,S,S,S,S,,S,-,S,S,,S,S,S,,,S,,5818
6201811,2019-03-25,cat,pleural fluid,pleural effusion,GP,gardnerella,2019-04-03,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,5432
6111944,2018-08-20,dog,bite wound,wound,GP,staphylococcus,2018-08-24,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,R,R,R,R,+,R,S,R,,R,R,,S,R,+,R,,S,S,R,,R,R,R,S,4914
5908424,2017-11-27,dog,pustule,skin,GP,staphylococcus,2017-12-08,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,S,S,,S,S,-,S,,S,S,S,,S,S,S,S,4004
6016697,2017-12-21,dog,pus,skin,GP,staphylococcus,2017-12-26,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,S,S,,R,S,-,S,,S,S,S,,S,R,S,S,4429
6206874,2019-05-28,cat,urine,urinary tract,GP,staphylococcus,2019-06-04,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,,R,R,,R,+,,S,R,,R,R,,R,S,-,R,,S,S,R,,S,R,S,S,5570
6103201,2018-02-27,cat,urine,urinary tract,GP,staphylococcus,2018-03-09,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,R,R,R,R,+,R,S,S,,R,R,,S,R,-,R,,S,S,,,S,R,R,S,4625
5817236,2017-01-24,dog,ub mucosa,urinary tract,GP,enterococcus,2017-01-30,train,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,S,,R,,,S,R,,R,R,,,,-,R,,,R,,,,R,R,S,3949
6105856,2018-06-28,cat,nasal cavity,nasal cavity,GP,staphylococcus,2018-07-05,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,,R,R,S,R,+,R,S,R,,R,R,,S,I,-,R,,S,S,R,,S,R,R,S,4823
6114322,2019-04-21,cat,opened wound,wound,GP,staphylococcus,2019-04-25,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,R,R,-,R,R,S,,R,R,,S,R,-,R,,S,S,R,,S,R,R,S,5355
