hn,date_of_submission,species,submitted_sample,submitted_sample_category,vitek_id,bacteria_genus,report_issued_date,type,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_azithromycin,ans_cefalexin,ans_cefazolin,ans_cefovecin,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fluconazole,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_minocycline,ans_nitrofurantoin,ans_pradofloxacin,ans_rifampicin,ans_trimethoprim/sulfamethoxazole,ans_vancomycin,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_benzylpenicillin,S/I/R_cefalotin,S/I/R_cefovecin,S/I/R_cefoxitin screen,S/I/R_cefpodoxime,S/I/R_chloramphenicol,S/I/R_clindamycin,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_erythromycin,S/I/R_florfenicol,S/I/R_fusidic acid,S/I/R_gentamicin,S/I/R_inducible clindamycin resistance,S/I/R_marbofloxacin,S/I/R_minocycline,S/I/R_mupirocin,S/I/R_nitrofurantoin,S/I/R_oxacillin,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_tetracycline,S/I/R_trimethoprim/sulfamethoxazole,S/I/R_vancomycin,id
6311959,2020-10-04,dog,exudate,exudate,GP,staphylococcus,2020-10-09,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,R,R,R,R,+,R,R,R,R,R,R,S,,I,-,R,R,,S,R,R,,,S,,6290
6216536,2020-01-15,dog,ub mucosa,urinary tract,GP,bacillus,2020-01-20,train,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,5810
6103940,2018-04-11,dog,surgical site,surgical site,GP,enterococcus,2018-04-25,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,R,,,,,S,,,R,R,,,,,R,,,I,,,,R,,S,4677
6306717,2020-06-11,cat,opened wound,wound,GP,enterococcus,2020-06-17,train,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,S,,,,,S,,S,I,S,S,,,,I,S,,S,,,,,,,6539
6211124,2019-08-24,cat,pleural effusion,pleural effusion,GP,staphylococcus,2019-08-30,train,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,S,R,,S,-,,S,R,,S,R,,R,S,-,S,,S,S,S,,S,R,S,S,5643
6016211,2018-01-12,cat,wound,wound,GP,staphylococcus,2018-01-18,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,R,S,S,-,S,S,R,,S,R,,S,S,-,S,,S,S,S,,S,S,S,S,4509
600820,2020-11-15,dog,opened wound,wound,GP,staphylococcus,2020-11-23,train,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,R,R,R,R,+,R,R,S,R,R,R,S,,R,-,R,R,,S,R,R,,,S,,6081
5714339,2017-10-20,dog,fluid,hemoculture,GP,staphylococcus,2017-10-27,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,R,S,S,-,S,S,S,,R,S,,S,S,-,R,,S,S,R,,S,R,S,S,3901
5918113,2019-04-02,dog,x Swab from the Lt ear bulla,ear,GP,staphylococcus,2019-04-05,train,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,R,S,,I,R,,S,R,-,I,,S,S,R,,S,S,R,S,5240
6115524,2018-11-04,cat,wound,wound,GP,staphylococcus,2018-11-08,train,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,S,,S,-,,S,S,,S,S,,S,S,-,S,,S,S,S,,S,S,S,S,5057
6306586,2020-06-09,cat,bite wound,wound,GP,micrococcus,2020-06-15,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,6536
