hn,date_of_submission,species,submitted_sample,submitted_sample_category,vitek_id,bacteria_genus,report_issued_date,type,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_azithromycin,ans_cefalexin,ans_cefazolin,ans_cefovecin,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fluconazole,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_minocycline,ans_nitrofurantoin,ans_pradofloxacin,ans_rifampicin,ans_trimethoprim/sulfamethoxazole,ans_vancomycin,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_benzylpenicillin,S/I/R_cefalotin,S/I/R_cefovecin,S/I/R_cefoxitin screen,S/I/R_cefpodoxime,S/I/R_chloramphenicol,S/I/R_clindamycin,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_erythromycin,S/I/R_florfenicol,S/I/R_fusidic acid,S/I/R_gentamicin,S/I/R_inducible clindamycin resistance,S/I/R_marbofloxacin,S/I/R_minocycline,S/I/R_mupirocin,S/I/R_nitrofurantoin,S/I/R_oxacillin,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_tetracycline,S/I/R_trimethoprim/sulfamethoxazole,S/I/R_vancomycin,id
6108496,2018-11-26,dog,opened wound,wound,GP,staphylococcus,2018-11-29,train,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,S,,S,-,,S,S,,S,S,,S,S,-,S,,S,S,S,,S,S,S,S,5034
6201071,2019-01-24,dog,necrotic wound,wound,GP,staphylococcus,2019-01-29,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,S,,S,S,,S,S,-,S,,S,S,S,,S,R,S,S,5414
6107030,2018-06-21,dog,epidermal collarette,skin,GP,staphylococcus,2018-06-25,train,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,R,-,I,S,R,,R,R,,S,S,-,R,,S,S,R,,S,R,R,S,4783
6018806,2017-12-18,cat,wound,wound,GP,enterococcus,2017-12-22,train,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,S,,R,,,R,R,,I,R,,,,,I,,,S,,,,R,S,S,4462
6106748,2018-05-04,dog,opened wound,wound,GP,staphylococcus,2018-05-10,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,S,S,S,-,S,S,S,,S,S,,S,S,-,S,,S,S,S,,S,S,S,S,4737
6002070,2017-04-19,dog,pus,skin,GP,staphylococcus,2017-04-25,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,R,,S,R,-,R,S,S,,R,I,,S,R,+,R,,,S,R,,S,R,S,S,4136
5606333,2017-03-07,dog,wound,wound,GP,granulicatella,2017-03-14,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,3846
เธฃเธเธช.เน€เธเธฃเธดเธเธชเธธเธ (Ploy),2020-12-22,dog,ear culture,ear,GP,staphylococcus,2020-12-28,train,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,S,R,R,,R,+,,S,S,R,S,S,S,,S,-,S,I,,S,R,S,,,S,,6474
6300673,2020-02-12,dog,urine,urinary tract,GP,staphylococcus,2020-02-18,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,S,R,S,S,-,S,S,S,R,S,S,S,,S,-,S,R,,S,S,S,,,R,,5869
5910795,2016-07-10,dog,surgical site,surgical site,GP,staphylococcus,2016-07-14,train,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,,S,S,-,S,S,S,,R,S,,S,S,-,R,,,S,S,,S,R,S,S,3442
6012631,2017-08-27,cat,exudate,exudate,GP,staphylococcus,2017-08-31,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,S,S,S,-,S,S,S,,S,S,,S,S,-,S,,S,S,S,,S,S,S,S,4352
6313380,2021-01-20,dog,opened wound,wound,GP,staphylococcus,2021-01-25,train,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,R,R,R,R,+,R,S,R,R,R,R,S,,I,-,R,R,,S,R,R,,,R,,6321
6010783,2017-07-20,dog,folliculitis,folliculitis,GP,staphylococcus,2017-07-25,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,S,-,S,S,R,,S,S,,S,S,-,S,,S,S,S,,S,R,S,S,4298
6000430,2017-12-10,dog,pus,skin,GP,staphylococcus,2017-12-14,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,S,R,S,R,-,I,S,R,,R,R,,S,I,-,R,,S,S,R,,S,R,R,S,4094
6216824,2020-01-02,dog,urine,urinary tract,GP,staphylococcus,2020-01-07,train,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,R,S,S,-,S,S,S,S,S,S,S,,S,-,S,S,,S,S,S,,,S,,5792
6213421,2019-12-04,cat,ub mucosa,urinary tract,GP,corynebacterium,2019-12-12,train,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,5679
5506054,2017-11-06,dog,urine,urinary tract,GP,enterococcus,2017-11-09,train,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,R,R,,R,,,S,R,,R,R,,,,,R,,,I,,,,R,R,S,3811
